Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
ZywOo,"'Vitality', 'aAa'",985,25890,+5999,1.38,1.27
s1mple,'Natus Vincere',1544,40788,+8916,1.34,1.25
sh1ro,"'Gambit Youngsters', 'Gambit'",853,22639,+5372,1.45,1.22
deko,'1WIN',382,10313,+2270,1.38,1.22
saffee,"'FURIA', 'paiN'",374,9873,+1936,1.32,1.21
Kaze,"'ViCi', 'Flash', 'MVP.karnal'",835,21806,+4143,1.32,1.19
degster,"'Spirit', 'Espada'",675,17974,+3316,1.31,1.19
smooya,"'BIG', 'Movistar Riders', 'Epsilon'",861,22775,+3775,1.27,1.18
sterling,"'Looking For Org', 'AVANT', 'Dire Wolves'",845,21645,+3960,1.31,1.17
XANTARES,"'Eternal Fire', 'Space Soldiers', 'BIG'",1734,45617,+6183,1.20,1.17
torzsi,"'MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander'",428,11450,+1822,1.26,1.17
DANK1NG,"'TYLOO', 'EHOME'",374,9935,+1597,1.25,1.16
device,"'Astralis', 'TSM'",1793,46666,+7208,1.25,1.16
SENSEi,"'Run or Die', 'CR4ZY', 'Project X', 'Akuma'",427,11298,+2090,1.33,1.16
NiKo,"'G2', 'FaZe', 'MOUZ'",1610,42813,+5475,1.19,1.16
BnTeT,"'TYLOO', 'Gen.G', 'EXTREMUM'",1016,26493,+3841,1.23,1.15
coldzera,"'SK', 'FaZe', 'Luminosity', 'MIBR'",1410,36822,+5672,1.25,1.15
XigN,"'NKT', 'MVP PK', 'MVP Project'",705,18249,+2434,1.20,1.15
blameF,"'Astralis', 'Complexity', 'Heroic', 'Epsilon'",841,22506,+3488,1.26,1.15
Sico,"'Renegades', 'Grayhound', 'ORDER', 'Kings'",892,22621,+3761,1.28,1.15
KSCERATO,'FURIA',900,23380,+3732,1.28,1.15
Benkai,"'BOOT-d[S]', 'BOOT', 'dream[S]cape'",603,15560,+2046,1.20,1.14
XELLOW,'Nexus',1061,27848,+3273,1.18,1.14
Jame,"'AVANGAR', 'Virtus.pro'",1166,30922,+5208,1.31,1.13
Texta,"'Chiefs', 'Athletico', 'Dark Sided'",625,15713,+1750,1.16,1.13
mhL,"'MOUZ NXT', 'AGO'",458,12268,+1592,1.20,1.13
El1an,"'Entropiq', 'Winstrike', 'EPG'",1264,33705,+4695,1.23,1.13
oskar,"'MOUZ', 'SINNERS', 'HellRaisers'",1458,38450,+4848,1.20,1.13
kennyS,"'G2', 'Envy', 'Titan'",1852,48898,+6331,1.21,1.13
frozen,"'MOUZ', 'eXtatus'",1168,30540,+3450,1.17,1.13
mantuu,"'OG', 'ALTERNATE aTTaX', 'PANTHERS'",682,18286,+2345,1.21,1.12
huNter-,"'G2', 'Valiance', 'Binary Dragons'",1447,38234,+4170,1.16,1.12
yuurih,'FURIA',992,25849,+3125,1.19,1.12
Freeman,"'ViCi', 'TYLOO'",754,19211,+2195,1.18,1.12
erkaSt,"'Grayhound', 'TIGER', 'Immunity'",859,22286,+2504,1.17,1.12
chelleos,"'Paradox', 'Rooster', 'madlikewizards'",559,14429,+1455,1.15,1.12
vsm,"'00NATION', 'DETONA'",533,14130,+1485,1.16,1.12
woxic,"'Eternal Fire', 'HellRaisers', 'MOUZ', 'DarkPassage'",1140,29863,+3729,1.20,1.12
INS,"'Renegades', 'Chiefs', 'ORDER', 'Tainted Minds'",936,23751,+2625,1.17,1.12
liTTle,"'forZe', 'RuSh3D', 'Spartak', 'Enso'",458,12159,+1550,1.20,1.12
ropz,'MOUZ',1103,29169,+3689,1.21,1.12
dream3r,"'SKADE', 'E-frag.net', 'Fiend'",1241,32478,+4209,1.21,1.12
kNgV-,"'MIBR', 'INTZ'",827,21606,+2406,1.17,1.12
Jamppi,"'SJ', 'ENCE'",503,13449,+1408,1.16,1.12
wrath,"'New Identity', 'Secret Club', 'BlackOut'",525,13568,+1239,1.13,1.12
xsepower,"'K23', 'forZe'",1223,32796,+4578,1.24,1.12
PTC,"'Lucid Dream', '5POWER'",476,12393,+1408,1.18,1.11
GuardiaN,"'Natus Vincere', 'FaZe'",1568,41069,+4811,1.19,1.11
splashske,"'BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape'",722,18651,+1811,1.15,1.11
Twistzz,"'FaZe', 'Liquid'",1349,35423,+3891,1.18,1.11
oSee,"'Extra Salt', 'Singularity', 'Cloud9'",1079,27999,+3355,1.19,1.11
NEOFRAG,'SINNERS',648,17364,+1550,1.13,1.11
dgt,'9z',407,10750,+1321,1.20,1.11
ottoNd,"'HAVU', 'Valiance', 'CR4ZY', 'c0ntact'",855,22591,+2642,1.19,1.11
zorte,"'forZe', 'Unique'",694,18479,+2228,1.20,1.11
