,steamID,personaName,loccountryCode,Country,state,level,visibilityState,kdr,win,headShot,accuracy,timePlayed,roundsPlayed,roundsWon,headShots,shotsHit,shotsFired,matchesPlayed,kills,deaths,moneyEarned,pistolRoundsWon,killedKnifeFight,killsEnemyWeapon,bombsSet,totalDamage,enemiesTasered,aimingSnipersKilled,mvPs,bombsDefused,totalScore,blindedEnemiesKilled,hostagesRescued,ranking
0,76561198087760553,PUTIN,ru,RUS,1,1,0,10.10,100.00,"9,787.70",100.00,"27,507","978,979,334","978,979,178","978,979,352","978,983,186","979,000,606","798,879,934","10,002,144","98,990,662","979,853,549","978,978,991","987,978,979",0,"989,899,008","979,135,935","987,897,879","978,979,083","987,987,965","989,879,800","987,803,098","987,979,035","989,898,999",1
1,76561198122166367,фотограф,ae,ARE,1,1,0,10.03,99.99,997.18,99.75,"28,172","100,030,808","100,016,588","100,007,621","100,058,713","100,308,559","777,778,988","10,029,050","100,025,375","1,067,718,749","100,000,226","100,000,394",0,"100,000,150","105,089,984",14,"100,007,059","5,779","100,000,046","81,890","100,000,206","99,999,999",2
2,76561197978680703,lpb is real,br,Brazil,1,1,0,99.99,99.99,99.99,99.59,"28,399","100,019,160","100,009,351","100,011,330","100,086,847","100,498,848","100,000,734","100,022,943","100,030,641","154,671,849","100,000,685","100,000,075",0,"100,001,139","103,264,812","100,000,002","100,001,658","100,002,633","100,000,181","100,039,208","100,000,867","99,999,999",3
0,76561198058315763,อาจารย์กบ,th,Thailand,1,1,0,99.98,99.98,99.97,99.00,"28,712","100,039,104","100,019,480","100,023,669","100,183,547","101,198,870","2,967","100,055,629","100,079,061","209,695,649","100,001,405","100,000,188",0,"100,001,450","107,886,006",76,"100,004,208","3,882","100,000,438","230,974","100,000,745","100,000,002",4
1,76561198797898200,arvin,jp,Japan,1,1,0,87.79,99.98,57.01,21.17,336,"6,072","6,071","14,041","74,446","351,715","1,770","24,629","28,056","53,490,700",327,118,0,174,"3,346,955",182,"1,648",762,122,"218,159",113,0,5
2,76561198886796378,Dax272,jp,Japan,1,2,0,99.99,99.97,99.97,99.44,"2,880","10,005,677","10,002,761","10,001,840","10,017,225","10,073,423","10,000,334","10,004,488","10,005,359","26,011,699","10,000,260","10,000,050",0,"10,000,219","10,677,234","10,000,000","10,000,338","10,000,897","10,000,054","10,010,673","10,000,086","9,999,999",6
3,76561198066844229,feelsgoodman,id,Indonesia,1,1,0,81.14,99.97,37.76,17.78,302,"13,099","13,095","5,369","51,262","288,368",692,"14,219","17,525","74,654,300",780,195,0,"1,251","2,051,107",281,926,"2,365",211,"52,603","1,167",0,7
4,76561198183642251,Vader[TR] 🚀🚀🚀,tr,Turkey,1,1,0,89.07,99.96,27.91,19.66,130,"5,002","5,000","2,837","45,563","231,784",734,"10,166","11,414","50,000,000",250,100,0,317,"1,340,015",10,873,454,100,"32,270",95,500,8
5,76561199063010999,✡I love Milfs✡,ru,RUS,1,1,0,98.67,99.94,26.12,21.46,273,"10,258","10,252","5,745","63,245","294,685",511,"21,996","22,293","77,651,650",620,154,0,327,"2,804,233",14,"1,276","1,707",223,"42,376",289,500,9
6,76561198862638694,Ross,us,USA,1,1,0,98.41,99.92,24.48,20.75,115,"6,144","6,139","3,032","19,060","91,838",372,"12,384","12,584","54,509,900",341,123,0,314,"1,458,023",13,469,813,137,"30,636",68,500,10
