Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
 sh1ro,"'Gambit Youngsters', 'Gambit'",853,22639,5372,1.45,1.22
ZywOo,"'Vitality', 'aAa'",985,25890,5999,1.38,1.27
deko,'1WIN',382,10313,2270,1.38,1.22
s1mple,'Natus Vincere',1544,40788,8916,1.34,1.25
SENSEi,"'Run or Die', 'CR4ZY', 'Project X', 'Akuma'",427,11298,2090,1.33,1.16
saffee,"'FURIA', 'paiN'",374,9873,1936,1.32,1.21
Kaze,"'ViCi', 'Flash', 'MVP.karnal'",835,21806,4143,1.32,1.19
degster,"'Spirit', 'Espada'",675,17974,3316,1.31,1.19
sterling,"'Looking For Org', 'AVANT', 'Dire Wolves'",845,21645,3960,1.31,1.17
Jame,"'AVANGAR', 'Virtus.pro'",1166,30922,5208,1.31,1.13
