Player Name,Teammate(s) Name,"Maps played
 (No. of maps
 played in)","Rounds played
 (No. of rounds
 played in)","K-D Diff
 (No. of Kills completed
 - No. of times player died)","K/D Ratio
 (No. of Kills completed /
 No. of times player died)","Rating
 (1.0)"
ZywOo,"['Vitality', 'aAa']",1108,29209,6778,1.38,1.27
s1mple,['Natus Vincere'],1647,43578,9411,1.34,1.24
sh1ro,"['Gambit Youngsters', 'Gambit']",933,24798,5922,1.45,1.23
deko,['1WIN'],486,13190,2840,1.37,1.21
Kaze,"['Rare Atom', 'ViCi', 'Flash', 'MVP.karnal']",908,23727,4398,1.31,1.19
saffee,"['FURIA', 'paiN']",446,11796,2060,1.29,1.18
smooya,"['BIG', 'Movistar Riders', 'Epsilon']",916,24290,4039,1.27,1.18
degster,"['OG', 'Espada', 'Spirit']",773,20638,3684,1.3,1.18
XANTARES,"['Eternal Fire', 'Space Soldiers', 'BIG']",1878,49585,6703,1.2,1.17
sterling,"['AVANT', 'Looking For Org', 'Dire Wolves']",902,23109,4099,1.3,1.17
SENSEi,"['IKLA', 'CR4ZY', 'Project X', 'Akuma', 'Iron Branch', 'Run or Die']",608,16264,3138,1.35,1.16
device,"['Astralis', 'TSM']",1829,47640,7388,1.25,1.16
DANK1NG,"['TYLOO', 'EHOME']",425,11266,1741,1.24,1.16
blameF,"['Astralis', 'Complexity', 'Heroic', 'Epsilon']",973,26129,4156,1.26,1.16
NiKo,"['G2', 'FaZe', 'MOUZ']",1699,45144,5783,1.19,1.15
KSCERATO,['FURIA'],972,25303,4045,1.28,1.15
torzsi,"['MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander']",542,14454,2092,1.24,1.15
BnTeT,"['TYLOO', 'Gen.G', 'EXTREMUM']",1070,27889,3818,1.22,1.15
coldzera,"['SK', 'FaZe', 'Luminosity', 'MIBR']",1476,38594,5625,1.24,1.14
Woro2k,"['Monte', 'MAD Lions', 'ex-MAD Lions']",442,11921,1665,1.22,1.14
Benkai,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,2046,1.2,1.14
Sico,"['Grayhound', 'Renegades', 'ORDER', 'Kings']",960,24299,3754,1.26,1.13
XigN,"['NKT', 'MVP PK', 'MVP Project']",778,20232,2466,1.19,1.13
Texta,"['Chiefs', 'Athletico', 'Dark Sided']",626,15749,1748,1.16,1.13
Jame,"['AVANGAR', 'Virtus.pro']",1258,33337,5623,1.31,1.13
XELLOW,['Nexus'],1182,31216,3666,1.18,1.13
mhL,"['Endpoint', 'AGO', 'MOUZ NXT']",596,16023,2112,1.21,1.13
oskar,"['SINNERS', 'MOUZ', 'HellRaisers']",1525,40300,5080,1.2,1.13
forsyy,"['SINNERS', 'Enterprise']",461,12453,1740,1.23,1.13
El1an,"['Winstrike', 'Entropiq', 'EPG']",1339,35728,4878,1.22,1.13
sk0R,"['IHC', 'D13', 'NKT']",422,11395,1233,1.16,1.12
frozen,"['MOUZ', 'eXtatus']",1285,33626,3868,1.18,1.12
mantuu,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",696,18646,2374,1.21,1.12
Freeman,"['TYLOO', 'ViCi']",793,20299,2309,1.18,1.12
kennyS,"['G2', 'Envy', 'Titan']",1930,51113,6457,1.2,1.12
huNter-,"['G2', 'Valiance', 'Binary Dragons']",1536,40565,4344,1.16,1.12
liTTle,"['forZe', 'RuSh3D', 'Spartak', 'Enso']",458,12159,1550,1.2,1.12
yuurih,['FURIA'],1064,27772,3260,1.18,1.12
woxic,"['HellRaisers', 'Eternal Fire', 'MOUZ']",1257,33092,4139,1.2,1.12
INS,"['Grayhound', 'Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",1009,25563,2790,1.17,1.12
kNgV-,"['O PLANO', 'MIBR', 'INTZ']",878,23002,2552,1.17,1.12
Jamppi,"['SJ', 'ENCE']",503,13449,1408,1.16,1.12
ropz,"['FaZe', 'MOUZ']",1220,32318,4027,1.2,1.12
wrath,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,1239,1.13,1.12
dgt,['9z'],485,12865,1692,1.22,1.12
SunPayus,"['ENCE', 'Movistar Riders']",400,10702,1419,1.22,1.11
h4rn,"['FATE', 'Fiend', 'Enterprise']",684,18337,2397,1.22,1.11
chelleos,"['Rooster', 'madlikewizards', 'Paradox']",601,15529,1477,1.14,1.11
PTC,"['Lucid Dream', '5POWER']",476,12393,1408,1.18,1.11
nawwk,"['Apeks', 'GamerLegion', 'Ninjas in Pyjamas', 'x6tence Galaxy']",992,26576,3425,1.21,1.11
vsm,"['Fluxo', 'DETONA', '00NATION']",639,16947,1681,1.15,1.11
splashske,"['BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape']",722,18651,1811,1.15,1.11
erkaSt,"['NKT', 'Grayhound', 'TIGER', 'Immunity']",920,23944,2450,1.15,1.11
Twistzz,"['FaZe', 'Liquid']",1466,38566,4206,1.18,1.11
zorte,"['forZe', 'Unique']",877,23533,2974,1.21,1.11
GuardiaN,"['Natus Vincere', 'FaZe']",1590,41693,4763,1.18,1.11
xsepower,"['forZe', 'K23']",1336,35869,4797,1.23,1.11
dream3r,"['E-frag.net', 'Fiend', 'SKADE']",1354,35532,4314,1.2,1.11
ottoNd,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",890,23509,2715,1.19,1.11
CacaNito,['BLUEJAYS'],394,10579,850,1.12,1.11
FREDDyFROG,"['Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer']",1208,32176,3606,1.18,1.11
Vexite,"['Grayhound', 'ORDER', 'Chiefs']",407,10368,854,1.12,1.11
dumau,"['00NATION', 'GODSENT', 'Yeah']",522,13859,1586,1.18,1.1
TenZ,"['Bad News Bears', 'ATK']",401,10399,839,1.12,1.1
f0rest,"['Ninjas in Pyjamas', 'Dignitas']",2101,54645,5673,1.16,1.1
Olivia,"['Beyond', 'Alpha Red', 'Signature']",634,16189,1565,1.15,1.1
poizon,"['Complexity', 'Windigo', 'Bpro']",1108,29354,2862,1.15,1.1
mertz,"['North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity']",955,25333,2594,1.16,1.1
mir,"['Spirit', 'Vega Squadron', 'Gambit']",1066,28082,2792,1.15,1.1
WARDELL,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,1648,1.17,1.1
HEN1,"['MIBR', 'Immortals', 'FURIA', 'Luminosity']",1234,32076,4103,1.22,1.1
oSee,"['Liquid', 'Extra Salt', 'Singularity', 'Cloud9']",1195,31185,3498,1.18,1.1
CeRq,"['NRG', 'Evil Geniuses', 'Outlaws']",1234,32056,3437,1.17,1.1
swag,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,1629,1.18,1.1
