Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating,Role
ZywOo,Mathieu Herbaut,Vitality,22 years,24631,0.41100000000000003,17853,1.38,87.8,3.7,1108,29209,0.84,0.12,0.61,0.09,0.12,1.32,AWPer
s1mple,Oleksandr Kostyliev,Natus Vincere,25 years,37131,0.41200000000000003,27727,1.34,85.9,2.4,1649,43626,0.85,0.1,0.64,0.08,0.11,1.24,AWPer
sh1ro,Dmitry Sokolov,Cloud9,21 years,19146,0.27899999999999997,13224,1.45,78.7,3.9,933,24798,0.77,0.11,0.53,0.08,0.11,1.26,Lurker
deko,Denis Zhukov,1WIN,21 years,10722,0.368,7851,1.37,80.5,3.7,494,13410,0.8,0.1,0.59,0.08,0.11,1.23,Lurker
Kaze,Andrew Khong,Rare Atom,28 years,18529,0.304,14102,1.31,79.5,2.9,913,23865,0.78,0.11,0.59,0.08,0.1,1.19,Lurker
saffee,Rafael Costa,FURIA,28 years,9240,0.306,7180,1.29,79.2,3.0,446,11796,0.78,0.1,0.61,0.08,0.09,1.2,AWPer
smooya,Owen Butterfield,,23 years,19173,0.27899999999999997,15135,1.27,79.7,2.6,917,24315,0.79,0.1,0.62,0.08,0.1,1.2,Entry Fragger
degster,Abdul Gasanov,OG,21 years,16181,0.348,12464,1.3,78.5,2.9,778,20777,0.78,0.09,0.6,0.07,0.1,1.2,Entry Fragger
XANTARES,Ismailcan Dörtkardeş,Eternal Fire,27 years,40750,0.5329999999999999,33938,1.2,89.3,4.9,1901,50228,0.81,0.15,0.68,0.1,0.1,1.17,Support
sterling,Euan Moore,Encore,24 years,17960,0.317,13834,1.3,78.0,4.0,906,23220,0.77,0.1,0.6,0.08,0.1,1.2,Lurker
DANK1NG,Zhenghao Lv,TYLOO,23 years,9063,0.391,7237,1.25,80.1,2.3,434,11481,0.79,0.1,0.63,0.09,0.1,1.21,AWPer
SENSEi,Dmitriy Shvorak,IKLA,24 years,12224,0.31,9060,1.35,75.9,3.1,615,16456,0.74,0.09,0.55,0.07,0.09,1.21,Entry Fragger
device,Nicolai Reedtz,Astralis,27 years,37204,0.35,29771,1.25,80.4,4.3,1835,47799,0.78,0.13,0.62,0.07,0.08,1.16,AWPer
blameF,Benjamin Bremer,Astralis,25 years,20182,0.392,15978,1.26,85.8,7.1,979,26288,0.77,0.14,0.61,0.07,0.09,1.23,Support
NiKo,Nikola Kovač,G2,26 years,36082,0.505,30256,1.19,86.0,4.5,1709,45395,0.79,0.13,0.67,0.08,0.1,1.15,AWPer
JamYoung,Yi Yang,Rare Atom,21 years,7957,0.547,6485,1.23,81.4,3.3,394,10398,0.77,0.13,0.62,0.09,0.12,1.19,AWPer
KSCERATO,Kaike Cerato,FURIA,23 years,18704,0.49200000000000005,14659,1.28,79.5,5.4,972,25303,0.74,0.13,0.58,0.08,0.1,1.19,Lurker
BnTeT,Hansel Ferdinand,NKT,27 years,21318,0.397,17478,1.22,82.7,5.1,1074,27975,0.76,0.14,0.62,0.1,0.12,1.15,Support
torzsi,Ádám Torzsás,MOUZ,20 years,10967,0.29100000000000004,8875,1.24,76.6,2.5,542,14454,0.76,0.09,0.61,0.08,0.1,1.16,Entry Fragger
Benkai,Benedict Tan,,26 years,12164,0.467,10118,1.2,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.1,1.14,Support
Woro2k,Volodymyr Veletniuk,Monte,21 years,9544,0.34,7821,1.22,79.1,3.1,456,12329,0.77,0.1,0.63,0.08,0.1,1.17,AWPer
coldzera,Marcelo David,00NATION,28 years,29682,0.494,24046,1.23,78.8,2.5,1490,38979,0.76,0.11,0.62,0.08,0.1,1.14,AWPer
Sico,Simon Williams,Grayhound,28 years,18189,0.359,14421,1.26,78.6,6.8,964,24408,0.75,0.14,0.59,0.09,0.1,1.13,Support
XigN,Hyun-Pyo Lee,NKT,25 years,15725,0.526,13251,1.19,81.8,2.8,782,20318,0.77,0.12,0.65,0.09,0.1,1.13,AWPer
Texta,Matthew O'Rourke,,21 years,12537,0.40299999999999997,10789,1.16,87.1,3.6,626,15749,0.8,0.18,0.69,0.11,0.13,1.21,In-Game Leader
Jame,Dzhami Ali,Outsiders,24 years,23826,0.251,18203,1.31,72.7,4.0,1258,33337,0.71,0.09,0.55,0.07,0.09,1.17,Entry Fragger
XELLOW,Adrian Guță,Sprout,22 years,24300,0.39799999999999996,20652,1.18,79.7,1.8,1188,31370,0.77,0.1,0.66,0.09,0.1,1.13,AWPer
oskar,Tomáš Šťastný,SINNERS,31 years,30870,0.305,25750,1.2,78.2,3.4,1532,40471,0.76,0.1,0.64,0.07,0.08,1.13,AWPer
mhL,Miłosz Knasiak,Endpoint,20 years,12284,0.287,10172,1.21,80.1,3.7,598,16068,0.76,0.12,0.63,0.09,0.11,1.17,Entry Fragger
forsyy,David Bílý,SINNERS,21 years,9197,0.293,7457,1.23,76.7,4.2,461,12453,0.74,0.1,0.6,0.08,0.09,1.16,Lurker
El1an,Aleksei Gusev,Boston crab,23 years,26798,0.27,21924,1.22,78.0,2.8,1340,35763,0.75,0.11,0.61,0.07,0.08,1.17,Entry Fragger
frozen,David Čerňanský,MOUZ,20 years,25436,0.542,21568,1.18,82.8,5.2,1285,33626,0.76,0.13,0.64,0.09,0.11,1.12,AWPer
sk0R,Tengis Batjargal,IHC,20 years,8964,0.486,7719,1.16,82.4,4.7,426,11495,0.78,0.12,0.67,0.09,0.1,1.16,AWPer
