Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating
ZywOo,Mathieu Herbaut,Vitality,22 years,24631,41.1%,17853,1.38,87.8,3.7,1108,29209,0.84,0.12,0.61,0.09,0.12,1.32
s1mple,Oleksandr Kostyliev,Natus Vincere,25 years,37131,41.2%,27727,1.34,85.9,2.4,1649,43626,0.85,0.1,0.64,0.08,0.11,1.24
sh1ro,Dmitry Sokolov,Cloud9,21 years,19146,27.9%,13224,1.45,78.7,3.9,933,24798,0.77,0.11,0.53,0.08,0.11,1.26
deko,Denis Zhukov,1WIN,21 years,10722,36.8%,7851,1.37,80.5,3.7,494,13410,0.8,0.1,0.59,0.08,0.11,1.23
Kaze,Andrew Khong,Rare Atom,28 years,18529,30.4%,14102,1.31,79.5,2.9,913,23865,0.78,0.11,0.59,0.08,0.1,1.19
saffee,Rafael Costa,FURIA,28 years,9240,30.6%,7180,1.29,79.2,3.0,446,11796,0.78,0.1,0.61,0.08,0.09,1.2
smooya,Owen Butterfield,N/A,23 years,19173,27.9%,15135,1.27,79.7,2.6,917,24315,0.79,0.1,0.62,0.08,0.1,1.2
degster,Abdul Gasanov,OG,21 years,16181,34.8%,12464,1.3,78.5,2.9,778,20777,0.78,0.09,0.6,0.07,0.1,1.2
XANTARES,Ismailcan Dörtkardeş,Eternal Fire,27 years,40750,53.3%,33938,1.2,89.3,4.9,1901,50228,0.81,0.15,0.68,0.1,0.1,1.17
sterling,Euan Moore,Encore,24 years,17960,31.7%,13834,1.3,78.0,4.0,906,23220,0.77,0.1,0.6,0.08,0.1,1.2
DANK1NG,Zhenghao Lv,TYLOO,23 years,9063,39.1%,7237,1.25,80.1,2.3,434,11481,0.79,0.1,0.63,0.09,0.1,1.21
SENSEi,Dmitriy Shvorak,IKLA,24 years,12224,31.0%,9060,1.35,75.9,3.1,615,16456,0.74,0.09,0.55,0.07,0.09,1.21
device,Nicolai Reedtz,Astralis,27 years,37204,35.0%,29771,1.25,80.4,4.3,1835,47799,0.78,0.13,0.62,0.07,0.08,1.16
blameF,Benjamin Bremer,Astralis,25 years,20182,39.2%,15978,1.26,85.8,7.1,979,26288,0.77,0.14,0.61,0.07,0.09,1.23
NiKo,Nikola Kovač,G2,26 years,36082,50.5%,30256,1.19,86.0,4.5,1709,45395,0.79,0.13,0.67,0.08,0.1,1.15
JamYoung,Yi Yang,Rare Atom,21 years,7957,54.7%,6485,1.23,81.4,3.3,394,10398,0.77,0.13,0.62,0.09,0.12,1.19
KSCERATO,Kaike Cerato,FURIA,23 years,18704,49.2%,14659,1.28,79.5,5.4,972,25303,0.74,0.13,0.58,0.08,0.1,1.19
BnTeT,Hansel Ferdinand,NKT,27 years,21318,39.7%,17478,1.22,82.7,5.1,1074,27975,0.76,0.14,0.62,0.1,0.12,1.15
torzsi,Ádám Torzsás,MOUZ,20 years,10967,29.1%,8875,1.24,76.6,2.5,542,14454,0.76,0.09,0.61,0.08,0.1,1.16
Benkai,Benedict Tan,N/A,26 years,12164,46.7%,10118,1.2,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.1,1.14
Woro2k,Volodymyr Veletniuk,Monte,21 years,9544,34.0%,7821,1.22,79.1,3.1,456,12329,0.77,0.1,0.63,0.08,0.1,1.17
coldzera,Marcelo David,00NATION,28 years,29682,49.4%,24046,1.23,78.8,2.5,1490,38979,0.76,0.11,0.62,0.08,0.1,1.14
Sico,Simon Williams,Grayhound,28 years,18189,35.9%,14421,1.26,78.6,6.8,964,24408,0.75,0.14,0.59,0.09,0.1,1.13
XigN,Hyun-Pyo Lee,NKT,25 years,15725,52.6%,13251,1.19,81.8,2.8,782,20318,0.77,0.12,0.65,0.09,0.1,1.13
Texta,Matthew O'Rourke,N/A,21 years,12537,40.3%,10789,1.16,87.1,3.6,626,15749,0.8,0.18,0.69,0.11,0.13,1.21
Jame,Dzhami Ali,Outsiders,24 years,23826,25.1%,18203,1.31,72.7,4.0,1258,33337,0.71,0.09,0.55,0.07,0.09,1.17
XELLOW,Adrian Guță,Sprout,22 years,24300,39.8%,20652,1.18,79.7,1.8,1188,31370,0.77,0.1,0.66,0.09,0.1,1.13
oskar,Tomáš Šťastný,SINNERS,31 years,30870,30.5%,25750,1.2,78.2,3.4,1532,40471,0.76,0.1,0.64,0.07,0.08,1.13
mhL,Miłosz Knasiak,Endpoint,20 years,12284,28.7%,10172,1.21,80.1,3.7,598,16068,0.76,0.12,0.63,0.09,0.11,1.17
forsyy,David Bílý,SINNERS,21 years,9197,29.3%,7457,1.23,76.7,4.2,461,12453,0.74,0.1,0.6,0.08,0.09,1.16
El1an,Aleksei Gusev,Boston crab,23 years,26798,27.0%,21924,1.22,78.0,2.8,1340,35763,0.75,0.11,0.61,0.07,0.08,1.17
frozen,David Čerňanský,MOUZ,20 years,25436,54.2%,21568,1.18,82.8,5.2,1285,33626,0.76,0.13,0.64,0.09,0.11,1.12
sk0R,Tengis Batjargal,IHC,20 years,8964,48.6%,7719,1.16,82.4,4.7,426,11495,0.78,0.12,0.67,0.09,0.1,1.16
Freeman,WingHei Cheung,TYLOO,23 years,15580,48.9%,13223,1.18,80.6,3.0,802,20514,0.76,0.13,0.64,0.09,0.11,1.16
mantuu,Mateusz Wilczewski,N/A,25 years,13904,35.7%,11530,1.21,76.7,3.4,696,18646,0.75,0.11,0.62,0.09,0.12,1.16
kennyS,Kenny Schrub,Falcons,27 years,38685,31.2%,32187,1.2,74.4,3.4,1936,51280,0.75,0.11,0.63,0.09,0.11,1.12
huNter-,Nemanja Kovač,G2,27 years,31502,49.3%,27098,1.16,84.5,5.5,1546,40816,0.77,0.14,0.66,0.1,0.11,1.12
liTTle,Anatoliy Yashin,9 Pandas,34 years,9317,27.7%,7766,1.2,78.5,2.6,457,12154,0.77,0.1,0.64,0.07,0.09,1.12
INS,Joshua Potter,Grayhound,24 years,19482,42.6%,16661,1.17,85.7,8.6,1013,25672,0.76,0.17,0.65,0.1,0.09,1.19
yuurih,Yuri Santos,FURIA,23 years,20918,44.2%,17658,1.18,84.1,5.0,1064,27772,0.75,0.15,0.64,0.09,0.11,1.18
