,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
0,ZywOo,"'Vitality', 'aAa'",985,25890,5999,1.38,1.27,15786.0,21785.0
1,s1mple,'Natus Vincere',1544,40788,8916,1.34,1.25,26223.0,35139.0
2,sh1ro,"'Gambit Youngsters', 'Gambit'",853,22639,5372,1.45,1.22,11937.0,17309.0
3,deko,'1WIN',382,10313,2270,1.38,1.22,5973.0,8243.0
4,saffee,"'FURIA', 'paiN'",374,9873,1936,1.32,1.21,6049.0,7985.0
5,Kaze,"'ViCi', 'Flash', 'MVP.karnal'",835,21806,4143,1.32,1.19,12946.0,17089.0
6,degster,"'Spirit', 'Espada'",675,17974,3316,1.31,1.19,10696.0,14012.0
7,smooya,"'BIG', 'Movistar Riders', 'Epsilon'",861,22775,3775,1.27,1.18,13981.0,17756.0
8,sterling,"'Looking For Org', 'AVANT', 'Dire Wolves'",845,21645,3960,1.31,1.17,12774.0,16734.0
9,XANTARES,"'Eternal Fire', 'Space Soldiers', 'BIG'",1734,45617,6183,1.2,1.17,30915.0,37098.0
10,torzsi,"'MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander'",428,11450,1822,1.26,1.17,7007.0,8829.0
11,DANK1NG,"'TYLOO', 'EHOME'",374,9935,1597,1.25,1.16,6388.0,7985.0
12,device,"'Astralis', 'TSM'",1793,46666,7208,1.25,1.16,28832.0,36040.0
13,SENSEi,"'Run or Die', 'CR4ZY', 'Project X', 'Akuma'",427,11298,2090,1.33,1.16,6333.0,8423.0
14,NiKo,"'G2', 'FaZe', 'MOUZ'",1610,42813,5475,1.19,1.16,28815.0,34290.0
15,BnTeT,"'TYLOO', 'Gen.G', 'EXTREMUM'",1016,26493,3841,1.23,1.15,16700.0,20541.0
16,coldzera,"'SK', 'FaZe', 'Luminosity', 'MIBR'",1410,36822,5672,1.25,1.15,22688.0,28360.0
17,XigN,"'NKT', 'MVP PK', 'MVP Project'",705,18249,2434,1.2,1.15,12170.0,14604.0
18,blameF,"'Astralis', 'Complexity', 'Heroic', 'Epsilon'",841,22506,3488,1.26,1.15,13415.0,16903.0
19,Sico,"'Renegades', 'Grayhound', 'ORDER', 'Kings'",892,22621,3761,1.28,1.15,13432.0,17193.0
20,KSCERATO,'FURIA',900,23380,3732,1.28,1.15,13328.0,17060.0
21,Benkai,"'BOOT-d[S]', 'BOOT', 'dream[S]cape'",603,15560,2046,1.2,1.14,10230.0,12276.0
22,XELLOW,'Nexus',1061,27848,3273,1.18,1.14,18183.0,21456.0
23,Jame,"'AVANGAR', 'Virtus.pro'",1166,30922,5208,1.31,1.13,16799.0,22007.0
24,Texta,"'Chiefs', 'Athletico', 'Dark Sided'",625,15713,1750,1.16,1.13,10937.0,12687.0
25,mhL,"'MOUZ NXT', 'AGO'",458,12268,1592,1.2,1.13,7960.0,9552.0
26,El1an,"'Entropiq', 'Winstrike', 'EPG'",1264,33705,4695,1.23,1.13,20413.0,25108.0
27,oskar,"'MOUZ', 'SINNERS', 'HellRaisers'",1458,38450,4848,1.2,1.13,24240.0,29088.0
28,kennyS,"'G2', 'Envy', 'Titan'",1852,48898,6331,1.21,1.13,30147.0,36478.0
29,frozen,"'MOUZ', 'eXtatus'",1168,30540,3450,1.17,1.13,20294.0,23744.0
30,mantuu,"'OG', 'ALTERNATE aTTaX', 'PANTHERS'",682,18286,2345,1.21,1.12,11166.0,13511.0
31,huNter-,"'G2', 'Valiance', 'Binary Dragons'",1447,38234,4170,1.16,1.12,26062.0,30232.0
32,yuurih,'FURIA',992,25849,3125,1.19,1.12,16447.0,19572.0
